id,meta,translation
0,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([1], dtype=uint32), 'eo': array([2], dtype=uint32)}}","{'bs': 'Gospodine Borgard...', 'eo': 'Alvenis la respondo por vi el Nov-Orleano.'}"
1,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([2], dtype=uint32), 'eo': array([3], dtype=uint32)}}","{'bs': 'Imam odgovor za vas iz New Orleansa.', 'eo': 'Kion ili diris?'}"
2,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([3], dtype=uint32), 'eo': array([4, 5], dtype=uint32)}}","{'bs': 'Šta kažu?', 'eo': '"" Ŝipo ""Sundowner"" ekironta 21an - PUNKTO ""'}"
3,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([4], dtype=uint32), 'eo': array([6, 7, 8], dtype=uint32)}}","{'bs': '""Sundowner"" isplovljava 21-og... stop.', 'eo': '"" Alvenpukto: Eŭropo - PUNKTO ""'}"
4,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([5, 6], dtype=uint32), 'eo': array([9], dtype=uint32)}}","{'bs': 'Odredište: Europa... stop.', 'eo': '"" Rezervigo konfirmita'}"
5,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([7], dtype=uint32), 'eo': array([10, 11], dtype=uint32)}}","{'bs': 'Rezervacija potvrđena... stop.', 'eo': '- PUNKTO "" "" Sendu anticipaĵon: 500 dolarojn. ""'}"
6,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([8], dtype=uint32), 'eo': array([12], dtype=uint32)}}","{'bs': 'Potreban depozit od 500 dolara... stop.', 'eo': 'Hej!'}"
7,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([ 9, 10, 11], dtype=uint32), 'eo': array([14], dtype=uint32)}}","{'bs': 'Hej! A šta ćemo sa 500 dolara? Bez žurbe.', 'eo': 'Senhaste, nur estas grave ke la ŝipo estas!'}"
8,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([13], dtype=uint32), 'eo': array([15, 16, 17], dtype=uint32)}}","{'bs': 'Hej... 10 dolara!', 'eo': 'Nekredeble! Dek dolarojn. Paĉjo, kiel li faris?'}"
9,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([14], dtype=uint32), 'eo': array([18], dtype=uint32)}}","{'bs': 'Kako je to izveo, tata?', 'eo': 'Mi aŭdis nur unu pafon!'}"
