id,meta,translation
0,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([1], dtype=uint32), 'hy': array([1], dtype=uint32)}}","{'fr': 'A quand rendez-vous prochain ?', 'hy': 'Վեհը զազրելի է, զազրելին` վեհ է:'}"
1,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([2, 3], dtype=uint32), 'hy': array([2], dtype=uint32)}}","{'fr': 'Sous éclairs, foudre ou crachin ? Quand charivari achevé.', 'hy': 'Մեգը ճեղքենք ու ժանտաշունչ օդում ճախրենք:'}"
2,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([5, 6, 7], dtype=uint32), 'hy': array([3], dtype=uint32)}}","{'fr': '- Avant le coucher du soleil. - Le lieu ? La lande secrète.', 'hy': 'Ե՞րբ պիտի երեքով կրկին խմբվենք, Փայլակ-ամպրոպին և կամ` անձրևին:'}"
3,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([8], dtype=uint32), 'hy': array([4], dtype=uint32)}}","{'fr': 'Nous y retrouverons Macbeth.', 'hy': 'Երբ իրարանցումն ավարտվի, Կռվի մեջ հաղթողն ու պարտվողը պարզվի...'}"
4,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([12], dtype=uint32), 'hy': array([10], dtype=uint32)}}","{'fr': ""L'impitoyable Mcdonald entraînait ses rebelles."", 'hy': 'Ո՞վ է արյան մեջ կորած այս մարդը:'}"
5,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([13], dtype=uint32), 'hy': array([11], dtype=uint32)}}","{'fr': 'Et la fortune lui souriait.', 'hy': '-Ողջույն բարեկամ.'}"
6,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([14], dtype=uint32), 'hy': array([12, 13], dtype=uint32)}}","{'fr': ""Mais le preux Macbeth... s'est taillé jusqu'à lui passage."", 'hy': 'հայտնիր արքային, թե ինչ եղավ ճակատամարտը, երբ դու դաշտը լքեցիր: Նենգ Մաքդոնվալդը իր ապստամբների հետ արևմտյան կղզիներից արշավեց:'}"
7,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([15], dtype=uint32), 'hy': array([14, 15], dtype=uint32)}}","{'fr': ""Et sans salut ni adieu... l'a décousu du nombril aux mandibules !"", 'hy': 'Եվ նրա նզովյալ կռվին` բախտը սկզբում ժպտաց: - Սակայն, քաջ Մակբեթը...'}"
8,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([16], dtype=uint32), 'hy': array([16], dtype=uint32)}}","{'fr': 'Ah, mon vaillant cousin !', 'hy': 'Այո, խոսքն այդ արժանի է նրան... ճեղքելով անցավ ու դեմ հանդիման ելավ այդ ստրուկին:'}"
9,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([17], dtype=uint32), 'hy': array([17], dtype=uint32)}}","{'fr': ""Et c'est alors que Ie roi de Norvège... arrivant avec ses renforts, redonna l'assaut."", 'hy': 'Նրա ձեռքն իսկ չդողաց.'}"
10,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([18], dtype=uint32), 'hy': array([18, 19], dtype=uint32)}}","{'fr': 'Macbeth et Banquo en furent-ils ébranlés ?', 'hy': 'առանց մնաս բարև ու ախուվախ` կտրեց նրան պորտից մինչև երախ: Խիզախ է իմ զարմիկը...'}"
11,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([19, 20], dtype=uint32), 'hy': array([20], dtype=uint32)}}","{'fr': ""Autant que des lions par des lièvres ! Ton langage, autant que tes plaies, t'embellit."", 'hy': 'Նորվեգիայի արքան էլ պատեհ առիթը չկորցրեց և թարմ ուժերով նոր հարձակում սկսեց:'}"
12,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([21, 22], dtype=uint32), 'hy': array([21], dtype=uint32)}}","{'fr': ""Il respire l'honneur. Qu'on soigne ses blessures."", 'hy': 'Դա չահաբեկե՞ց զորավարներ Մակբեթին ու Բանքոյին...'}"
13,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([24], dtype=uint32), 'hy': array([26, 27], dtype=uint32)}}","{'fr': 'Mais Macbeth... fit face au roi, fer contre fer, et rabattit son ardeur superbe.', 'hy': 'Աստված պահի մեր արքային, ի՞նչ նորություն, վեհազնիվ մեր թեն: Նորվեգացիք, տեր իմ...'}"
14,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([25], dtype=uint32), 'hy': array([28], dtype=uint32)}}","{'fr': 'Et la victoire fut à nous.', 'hy': 'Նրանց մեծաթիվ ու ահռելի զորքին աջակցում է դավաճան Կավդորի թենը:'}"
15,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([26, 27, 28], dtype=uint32), 'hy': array([29], dtype=uint32)}}","{'fr': 'Quel bonheur ! Ce baron de Cawdor ne dupera plus notre affection. Pars prononcer sa mort immédiate.', 'hy': 'Չարանենգ մի հարձակում գործեցին նրանք, սակայն Բելլոնայի սիրեցյալ Մակբեթն իր սուրը նորվեգական արքայի սրին խաչեց, կռվեց բազուկ` բազկի և նրանց թափն ու ոգին կոտրեց:'}"
16,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([29], dtype=uint32), 'hy': array([30, 31], dtype=uint32)}}","{'fr': ""Et du titre qu'il portait tu salueras Macbeth."", 'hy': 'Եվ ի վերջո, հաղթությունը մեզ բաժին հասավ: Մեծ ուրախություն է այդ...'}"
17,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([33, 34], dtype=uint32), 'hy': array([36], dtype=uint32)}}","{'fr': 'Parlez, si vous pouvez. Qui êtes-vous ?', 'hy': 'Ի՞նչ են սրանք.'}"
18,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([35, 36], dtype=uint32), 'hy': array([37], dtype=uint32)}}","{'fr': 'Salut, Macbeth ! Salut à toi, baron de Glamis !', 'hy': 'վայրի ու թորշոմ ցնցոտիներով իրենց` ասես բնակիչներ լինեն երկրի, բայց արդյոք երկրի՞ց են նրանք:'}"
19,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([37], dtype=uint32), 'hy': array([38], dtype=uint32)}}","{'fr': 'Salut, Macbeth !', 'hy': 'Խոսեք.'}"
